+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+
|   δ   |   p   |   7   |   b   |   9   |   6   |   n   |   <   |   i   |   d   |   l   |   +   |   3   |   t   |   r   |   x   |   a   |   m   |   =   |   1   |   >   |   f   |   ^   |   2   |   5   |   w   |   /   |   o   |   0   |   v   |   g   |   s   |   -   |   j   |   y   |   q   |   4   |   e   |   @   |   h   |   z   |   k   |   c   |   u   |   8   |
|  *195 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [200] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *196 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [201] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *197 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [202] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *198 | [183] | [183] | [183] | [183] | [183] | [203] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *199 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *200 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [204] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *201 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *202 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *203 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
|  *204 | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |   []  | [183] |   []  | [183] |   []  | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] |   []  | [183] | [183] | [183] | [183] | [183] | [183] |
+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+
